ID,start,mnr,answer,timestamp
101,2012-02-14 07:16:31,1,5,2012-02-14 07:23:02
101,2012-02-14 07:16:31,2,4,2012-02-14 07:23:38
101,2012-02-14 07:16:31,3,3,2012-02-14 07:24:05
101,2012-02-14 07:16:31,4,2,2012-02-14 07:25:00
101,2012-02-14 07:16:31,5,1,2012-02-14 07:25:10
101,2012-02-14 07:16:31,6,5,2012-02-14 07:25:23
101,2012-02-14 07:16:31,7,4,2012-02-14 07:25:35
101,2012-02-14 07:16:31,8,3,2012-02-14 07:25:53
101,2012-02-14 07:16:31,9,5,2012-02-14 07:26:41
101,2012-02-14 07:16:31,10,1,2012-02-14 07:27:18
101,2012-02-14 07:16:31,11,4,2012-02-14 07:28:24
102,2012-02-14 07:16:31,1,5,2012-02-14 07:20:56
102,2012-02-14 07:16:31,2,4,2012-02-14 07:23:30
102,2012-02-14 07:16:31,3,2,2012-02-14 07:28:02
103,2012-02-14 07:16:31,1,5,2012-02-14 07:18:26
103,2012-02-14 07:16:31,2,4,2012-02-14 07:21:19
103,2012-02-14 07:16:31,3,3,2012-02-14 07:22:18
103,2012-02-14 07:16:31,4,4,2012-02-14 07:22:54
103,2012-02-14 07:16:31,5,5,2012-02-14 07:23:37
103,2012-02-14 07:16:31,6,4,2012-02-14 07:25:13
103,2012-02-14 07:16:31,7,4,2012-02-14 07:25:43
103,2012-02-14 07:16:31,8,3,2012-02-14 07:26:27
103,2012-02-14 07:16:31,9,5,2012-02-14 07:27:44
103,2012-02-14 07:16:31,10,1,2012-02-14 07:28:03
104,2012-02-14 07:16:31,1,5,2012-02-14 07:18:21
104,2012-02-14 07:16:31,2,4,2012-02-14 07:19:50
104,2012-02-14 07:16:31,3,3,2012-02-14 07:20:29
104,2012-02-14 07:16:31,4,2,2012-02-14 07:20:48
104,2012-02-14 07:16:31,5,1,2012-02-14 07:21:34
104,2012-02-14 07:16:31,6,5,2012-02-14 07:22:33
104,2012-02-14 07:16:31,7,2,2012-02-14 07:22:46
104,2012-02-14 07:16:31,8,3,2012-02-14 07:23:08
104,2012-02-14 07:16:31,9,5,2012-02-14 07:23:38
104,2012-02-14 07:16:31,10,5,2012-02-14 07:24:14
104,2012-02-14 07:16:31,11,1,2012-02-14 07:25:59
105,2012-02-14 07:16:31,1,4,2012-02-14 07:18:40
105,2012-02-14 07:16:31,2,4,2012-02-14 07:19:44
105,2012-02-14 07:16:31,3,3,2012-02-14 07:20:40
105,2012-02-14 07:16:31,4,2,2012-02-14 07:21:00
105,2012-02-14 07:16:31,5,1,2012-02-14 07:21:14
105,2012-02-14 07:16:31,6,5,2012-02-14 07:21:35
105,2012-02-14 07:16:31,7,4,2012-02-14 07:22:00
105,2012-02-14 07:16:31,8,3,2012-02-14 07:22:14
105,2012-02-14 07:16:31,9,3,2012-02-14 07:22:31
105,2012-02-14 07:16:31,10,2,2012-02-14 07:22:40
105,2012-02-14 07:16:31,11,4,2012-02-14 07:24:08
105,2012-02-14 07:16:31,12,1,2012-02-14 07:24:34
105,2012-02-14 07:16:31,13,3,2012-02-14 07:24:53
105,2012-02-14 07:16:31,14,5,2012-02-14 07:25:55
105,2012-02-14 07:16:31,15,2,2012-02-14 07:26:27
105,2012-02-14 07:16:31,16,3,2012-02-14 07:27:05
105,2012-02-14 07:16:31,17,5,2012-02-14 07:28:43
105,2012-02-14 07:16:31,18,4,2012-02-14 07:29:06
106,2012-02-14 07:16:31,1,4,2012-02-14 07:18:42
106,2012-02-14 07:16:31,2,5,2012-02-14 07:20:31
106,2012-02-14 07:16:31,3,3,2012-02-14 07:21:17
106,2012-02-14 07:16:31,4,4,2012-02-14 07:21:43
106,2012-02-14 07:16:31,5,1,2012-02-14 07:21:57
106,2012-02-14 07:16:31,6,5,2012-02-14 07:22:42
106,2012-02-14 07:16:31,7,2,2012-02-14 07:22:57
106,2012-02-14 07:16:31,8,3,2012-02-14 07:23:10
106,2012-02-14 07:16:31,9,5,2012-02-14 07:23:24
106,2012-02-14 07:16:31,10,1,2012-02-14 07:23:45
106,2012-02-14 07:16:31,11,4,2012-02-14 07:24:04
106,2012-02-14 07:16:31,12,1,2012-02-14 07:24:33
106,2012-02-14 07:16:31,13,4,2012-02-14 07:24:55
106,2012-02-14 07:16:31,14,1,2012-02-14 07:25:31
106,2012-02-14 07:16:31,15,2,2012-02-14 07:25:49
106,2012-02-14 07:16:31,16,3,2012-02-14 07:26:21
106,2012-02-14 07:16:31,17,5,2012-02-14 07:27:06
106,2012-02-14 07:16:31,18,3,2012-02-14 07:27:32
106,2012-02-14 07:16:31,19,2,2012-02-14 07:28:00
107,2012-02-14 07:16:31,1,3,2012-02-14 07:19:23
107,2012-02-14 07:16:31,2,3,2012-02-14 07:20:35
107,2012-02-14 07:16:31,3,3,2012-02-14 07:21:36
107,2012-02-14 07:16:31,4,2,2012-02-14 07:22:00
107,2012-02-14 07:16:31,5,1,2012-02-14 07:23:16
107,2012-02-14 07:16:31,6,5,2012-02-14 07:24:26
107,2012-02-14 07:16:31,7,4,2012-02-14 07:24:47
107,2012-02-14 07:16:31,8,3,2012-02-14 07:25:22
107,2012-02-14 07:16:31,9,5,2012-02-14 07:26:18
107,2012-02-14 07:16:31,10,1,2012-02-14 07:26:53
107,2012-02-14 07:16:31,11,4,2012-02-14 07:27:41
107,2012-02-14 07:16:31,12,1,2012-02-14 07:28:43
107,2012-02-14 07:16:31,13,5,2012-02-14 07:29:25
108,2012-02-14 07:16:31,1,4,2012-02-14 07:18:50
108,2012-02-14 07:16:31,2,1,2012-02-14 07:19:36
108,2012-02-14 07:16:31,3,3,2012-02-14 07:20:05
108,2012-02-14 07:16:31,4,2,2012-02-14 07:20:37
108,2012-02-14 07:16:31,5,1,2012-02-14 07:20:56
108,2012-02-14 07:16:31,6,5,2012-02-14 07:21:11
108,2012-02-14 07:16:31,7,4,2012-02-14 07:21:23
108,2012-02-14 07:16:31,8,3,2012-02-14 07:21:45
108,2012-02-14 07:16:31,9,5,2012-02-14 07:22:03
108,2012-02-14 07:16:31,10,3,2012-02-14 07:22:20
108,2012-02-14 07:16:31,11,5,2012-02-14 07:22:39
108,2012-02-14 07:16:31,12,1,2012-02-14 07:23:10
108,2012-02-14 07:16:31,13,5,2012-02-14 07:23:46
108,2012-02-14 07:16:31,14,5,2012-02-14 07:24:16
108,2012-02-14 07:16:31,15,2,2012-02-14 07:25:03
108,2012-02-14 07:16:31,16,5,2012-02-14 07:25:21
108,2012-02-14 07:16:31,17,5,2012-02-14 07:26:00
108,2012-02-14 07:16:31,18,3,2012-02-14 07:26:25
108,2012-02-14 07:16:31,19,2,2012-02-14 07:27:05
108,2012-02-14 07:16:31,20,1,2012-02-14 07:27:45
108,2012-02-14 07:16:31,21,4,2012-02-14 07:28:27
108,2012-02-14 07:16:31,22,2,2012-02-14 07:29:06
108,2012-02-14 07:16:31,23,5,2012-02-14 07:29:23
109,2012-02-14 07:16:31,1,4,2012-02-14 07:19:15
109,2012-02-14 07:16:31,2,4,2012-02-14 07:21:23
109,2012-02-14 07:16:31,3,3,2012-02-14 07:22:04
109,2012-02-14 07:16:31,4,2,2012-02-14 07:23:43
109,2012-02-14 07:16:31,5,4,2012-02-14 07:26:07
109,2012-02-14 07:16:31,6,5,2012-02-14 07:26:25
109,2012-02-14 07:16:31,7,4,2012-02-14 07:27:26
109,2012-02-14 07:16:31,8,3,2012-02-14 07:28:01
109,2012-02-14 07:16:31,9,5,2012-02-14 07:29:13
110,2012-02-14 07:16:31,1,5,2012-02-14 07:18:48
110,2012-02-14 07:16:31,2,4,2012-02-14 07:19:19
110,2012-02-14 07:16:31,3,3,2012-02-14 07:19:57
110,2012-02-14 07:16:31,4,4,2012-02-14 07:20:25
110,2012-02-14 07:16:31,5,2,2012-02-14 07:21:03
110,2012-02-14 07:16:31,6,5,2012-02-14 07:21:25
110,2012-02-14 07:16:31,7,2,2012-02-14 07:21:56
110,2012-02-14 07:16:31,8,3,2012-02-14 07:22:11
110,2012-02-14 07:16:31,9,5,2012-02-14 07:22:32
110,2012-02-14 07:16:31,10,1,2012-02-14 07:23:06
110,2012-02-14 07:16:31,11,4,2012-02-14 07:24:24
110,2012-02-14 07:16:31,12,1,2012-02-14 07:26:23
110,2012-02-14 07:16:31,13,5,2012-02-14 07:27:41
110,2012-02-14 07:16:31,14,1,2012-02-14 07:28:52
111,2012-02-14 07:16:31,1,5,2012-02-14 07:18:24
111,2012-02-14 07:16:31,2,4,2012-02-14 07:20:21
111,2012-02-14 07:16:31,3,3,2012-02-14 07:21:25
111,2012-02-14 07:16:31,4,2,2012-02-14 07:22:05
111,2012-02-14 07:16:31,5,1,2012-02-14 07:22:23
111,2012-02-14 07:16:31,6,5,2012-02-14 07:22:50
111,2012-02-14 07:16:31,7,4,2012-02-14 07:23:16
111,2012-02-14 07:16:31,8,3,2012-02-14 07:23:57
111,2012-02-14 07:16:31,9,5,2012-02-14 07:24:21
111,2012-02-14 07:16:31,10,1,2012-02-14 07:24:49
111,2012-02-14 07:16:31,11,4,2012-02-14 07:25:12
111,2012-02-14 07:16:31,12,1,2012-02-14 07:26:50
111,2012-02-14 07:16:31,13,5,2012-02-14 07:27:32
111,2012-02-14 07:16:31,14,1,2012-02-14 07:28:32
111,2012-02-14 07:16:31,15,2,2012-02-14 07:28:56
113,2012-02-14 07:16:31,1,5,2012-02-14 07:19:04
113,2012-02-14 07:16:31,2,4,2012-02-14 07:20:02
113,2012-02-14 07:16:31,3,3,2012-02-14 07:20:39
113,2012-02-14 07:16:31,4,2,2012-02-14 07:21:07
113,2012-02-14 07:16:31,5,1,2012-02-14 07:21:23
113,2012-02-14 07:16:31,6,5,2012-02-14 07:21:52
113,2012-02-14 07:16:31,7,4,2012-02-14 07:22:08
113,2012-02-14 07:16:31,8,3,2012-02-14 07:22:33
113,2012-02-14 07:16:31,9,4,2012-02-14 07:22:55
113,2012-02-14 07:16:31,10,1,2012-02-14 07:23:26
113,2012-02-14 07:16:31,11,4,2012-02-14 07:23:57
113,2012-02-14 07:16:31,12,2,2012-02-14 07:24:42
113,2012-02-14 07:16:31,13,5,2012-02-14 07:25:04
113,2012-02-14 07:16:31,14,1,2012-02-14 07:25:27
113,2012-02-14 07:16:31,15,2,2012-02-14 07:26:02
113,2012-02-14 07:16:31,16,3,2012-02-14 07:26:31
113,2012-02-14 07:16:31,17,5,2012-02-14 07:27:30
113,2012-02-14 07:16:31,18,3,2012-02-14 07:27:49
113,2012-02-14 07:16:31,19,3,2012-02-14 07:28:54
113,2012-02-14 07:16:31,20,3,2012-02-14 07:29:20
114,2012-02-14 07:16:31,1,3,2012-02-14 07:23:49
114,2012-02-14 07:16:31,2,2,2012-02-14 07:25:24
114,2012-02-14 07:16:31,3,3,2012-02-14 07:26:13
114,2012-02-14 07:16:31,4,4,2012-02-14 07:27:06
114,2012-02-14 07:16:31,5,1,2012-02-14 07:27:56
114,2012-02-14 07:16:31,6,5,2012-02-14 07:28:32
114,2012-02-14 07:16:31,7,1,2012-02-14 07:29:29
