"sessionid";"computerid";"gambling";"mother2school";"father2school";"motheruni";"fatheruni";"workincome";"worktype";"withonemillion";"withonemillion2";"withonemillionspecify";"jobopp_govm";"jobopp_ownb";"jobopp_farm";"happy";"ypleased";"yworried";"yhappy";"sex";"program";"age"
"GYOVF";14;1;"Y";"Y";"Y";"Y";"N";;4;;"I will put it in my savings account so that when I finish school I will start a business for now I can't because I am busy with school.";1;3;2;8;"Y";"N";"Y";"Female";"Bachelor";22
"GYOVF";15;2;"Y";"Y";"N";"Y";"N";;2;;;2;3;3;9;"N";"N";"Y";"Female";"Bachelor";24
"GYOVF";16;2;"N";"N";"N";"N";"N";;3;;;2;3;2;5;"N";"N";"N";"Male";"Bachelor";
"GYOVF";17;3;"N";"N";"N";"N";"N";;2;;;2;3;2;7;"Y";"N";"Y";"Female";"Bachelor";22
"GYOVF";18;1;"Y";"Y";"N";"Y";"N";;3;;;3;2;2;8;"Y";"N";"Y";"Male";"Bachelor";21
"GYOVF";19;4;"N";"N";"N";"N";"N";;2;;;2;3;1;7;"Y";"N";"Y";"Male";"Bachelor";23
"GYOVF";20;1;"N";"N";"N";"N";"N";;2;;;2;3;3;10;"Y";"N";"Y";"Male";"Bachelor";25
"GYOVF";21;2;"N";"N";"N";"N";"N";;3;;;2;3;3;7;"Y";"N";"Y";"Male";"Bachelor";23
"GYOVF";22;1;"Y";"Y";"N";"Y";"N";;2;;;2;3;2;9;"N";"Y";"N";"Female";"Bachelor";23
"GYOVF";23;5;"N";"N";"N";"N";"N";;4;;"Buy land for settlement";2;3;2;7;"Y";"N";"Y";"Male";"Bachelor";24
"GYOVF";24;1;"Y";"Y";"N";"N";"N";;2;3;;2;3;1;6;"N";"N";"Y";"Male";"Bachelor";25
"GYOVF";25;1;"N";"N";"N";"N";"N";;4;;"I would find something to invest in while finding the best and productive plan.";2;3;2;9;"N";"N";"Y";"Female";"Bachelor";20
"GYOVF";26;4;"Y";"Y";"N";"N";"N";;2;;;2;3;1;9;"Y";"N";"Y";"Male";"Bachelor";26
"GYOVF";27;1;"Y";"Y";"N";"Y";"N";;1;;;1;3;1;5;"N";"Y";"N";"Female";"Bachelor";
"GYOVF";28;1;"N";"N";"N";"N";"N";;3;;;1;3;2;0;"Y";"Y";"N";"Male";"Bachelor";26
"GYOVF";29;1;"N";"Y";"Y";"Y";"N";;3;;;2;3;3;5;"Y";"N";"Y";"Male";"Bachelor";22
"GYOVF";30;5;"Y";"Y";"N";"N";"N";;3;;;2;3;3;5;"Y";"N";"Y";"Male";"Bachelor";23
